repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,373957500,227893248,240492544,12599296,26,-44.071389216721535,233.04817682643994
2,369735900,228331520,239378432,11046912,25,-44.071389216721535,233.04817682643994
3,372053800,229597184,239640576,10043392,25,-44.071389216721535,233.04817682643994
4,357913900,229679104,239939584,10260480,24,-44.071389216721535,233.04817682643994
5,371868100,234520576,239915008,5394432,25,-44.071389216721535,233.04817682643994
