repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,90281100,227803136,228352000,548864,7,-16.612572371375478,146.13129945566877
2,91785600,228466688,229122048,655360,8,-16.612572371375478,146.13129945566877
3,90974900,228061184,228413440,352256,8,-16.612572371375478,146.13129945566877
4,90537500,227495936,227733504,237568,7,-16.612572371375478,146.13129945566877
5,86049000,227655680,228118528,462848,7,-16.612572371375478,146.13129945566877
