repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,58112800,294117376,294252544,135168,5,-4.449775141460677,72.62526339691682
2,57060100,294342656,294490112,147456,5,-4.449775141460677,72.62526339691682
3,56046000,293777408,293912576,135168,5,-4.449775141460677,72.62526339691682
4,58168400,294424576,294584320,159744,5,-4.449775141460677,72.62526339691682
5,55424100,293658624,293814272,155648,5,-4.449775141460677,72.62526339691682
