repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,29962100,222720000,222932992,212992,3,-4.449775141460677,72.62526339691682
2,29097300,222711808,222789632,77824,4,-4.449775141460677,72.62526339691682
3,29410300,222408704,222523392,114688,3,-4.449775141460677,72.62526339691682
4,29877400,222519296,222662656,143360,3,-4.449775141460677,72.62526339691682
5,30599500,222248960,222314496,65536,4,-4.449775141460677,72.62526339691682
