repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,176782200,299655168,302346240,2691072,12,-44.07138921672171,233.04817682643997
2,183413600,300257280,303005696,2748416,13,-44.07138921672171,233.04817682643997
3,185461600,300400640,303075328,2674688,13,-44.07138921672171,233.04817682643997
4,177033600,301101056,303833088,2732032,13,-44.07138921672171,233.04817682643997
5,183941300,300933120,303521792,2588672,13,-44.07138921672171,233.04817682643997
