repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,165370600,296849408,299532288,2682880,12,-16.612572371375478,146.13129945566877
2,174662700,296595456,299155456,2560000,12,-16.612572371375478,146.13129945566877
3,172513200,296431616,299081728,2650112,12,-16.612572371375478,146.13129945566877
4,170689800,296734720,299212800,2478080,12,-16.612572371375478,146.13129945566877
5,173984700,296632320,299134976,2502656,13,-16.612572371375478,146.13129945566877
