repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,284126700,302305280,302972928,667648,20,-44.071389216721535,233.04817682643994
2,282827800,302342144,303132672,790528,20,-44.071389216721535,233.04817682643994
3,274764800,301826048,302665728,839680,19,-44.071389216721535,233.04817682643994
4,284781000,302407680,303054848,647168,20,-44.071389216721535,233.04817682643994
5,282037600,302161920,302866432,704512,19,-44.071389216721535,233.04817682643994
