repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,432607600,305725440,306569216,843776,29,-16.612572371375478,146.13129945566877
2,431446000,305549312,306221056,671744,28,-16.612572371375478,146.13129945566877
3,441101300,305332224,306085888,753664,30,-16.612572371375478,146.13129945566877
4,467571200,305844224,306479104,634880,32,-16.612572371375478,146.13129945566877
5,443315200,305360896,306118656,757760,30,-16.612572371375478,146.13129945566877
