repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,38009200,295321600,295854080,532480,4,-4.449775141460677,72.62526339691684
2,36386700,295407616,295960576,552960,4,-4.449775141460677,72.62526339691684
3,35251500,295616512,296148992,532480,4,-4.449775141460677,72.62526339691684
4,34884900,295755776,296341504,585728,4,-4.449775141460677,72.62526339691684
5,38598700,294731776,295280640,548864,4,-4.449775141460677,72.62526339691684
