repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,100693500,233185280,234659840,1474560,8,-44.07138921672171,233.04817682643997
2,101840200,232321024,233754624,1433600,8,-44.07138921672171,233.04817682643997
3,101145000,232816640,234323968,1507328,8,-44.07138921672171,233.04817682643997
4,101041900,232656896,234090496,1433600,8,-44.07138921672171,233.04817682643997
5,103004900,232796160,234233856,1437696,8,-44.07138921672171,233.04817682643997
