repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,107288000,297934848,298127360,192512,9,-16.612572371375478,146.1312994556688
2,109699000,296419328,296755200,335872,8,-16.612572371375478,146.1312994556688
3,107557600,296869888,297377792,507904,8,-16.612572371375478,146.1312994556688
4,109353700,297373696,297717760,344064,9,-16.612572371375478,146.1312994556688
5,108079100,297115648,297480192,364544,8,-16.612572371375478,146.1312994556688
