repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,57826000,294105088,294264832,159744,6,-4.449775141460677,72.62526339691682
2,57160300,294137856,294289408,151552,5,-4.449775141460677,72.62526339691682
3,57771300,294674432,294830080,155648,5,-4.449775141460677,72.62526339691682
4,55195100,294080512,294219776,139264,5,-4.449775141460677,72.62526339691682
5,54701600,294658048,294805504,147456,6,-4.449775141460677,72.62526339691682
