repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,350944200,302526464,303554560,1028096,24,-44.071389216721535,233.04817682643994
2,279933100,302526464,303185920,659456,19,-44.071389216721535,233.04817682643994
3,285244900,302186496,302862336,675840,20,-44.071389216721535,233.04817682643994
4,289645600,301895680,302735360,839680,20,-44.071389216721535,233.04817682643994
5,290024900,301924352,302817280,892928,20,-44.071389216721535,233.04817682643994
