repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,155470100,231763968,232157184,393216,12,-44.071389216721535,233.04817682643994
2,151333600,227885056,233017344,5132288,11,-44.071389216721535,233.04817682643994
3,146993400,232333312,232660992,327680,11,-44.071389216721535,233.04817682643994
4,153132500,232509440,232894464,385024,12,-44.071389216721535,233.04817682643994
5,151387300,232542208,233140224,598016,11,-44.071389216721535,233.04817682643994
