repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,20275500,223649792,223924224,274432,3,-4.449775141460677,72.62526339691684
2,20762700,223555584,223805440,249856,3,-4.449775141460677,72.62526339691684
3,19951800,223686656,224260096,573440,3,-4.449775141460677,72.62526339691684
4,19859300,223772672,224018432,245760,3,-4.449775141460677,72.62526339691684
5,19990000,223735808,223956992,221184,3,-4.449775141460677,72.62526339691684
