repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,94297700,227581952,227917824,335872,8,-16.612572371375478,146.13129945566877
2,91268400,227680256,228106240,425984,7,-16.612572371375478,146.13129945566877
3,90118200,227659776,228007936,348160,7,-16.612572371375478,146.13129945566877
4,90580200,227991552,228503552,512000,7,-16.612572371375478,146.13129945566877
5,89301600,227999744,228401152,401408,7,-16.612572371375478,146.13129945566877
