repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,154920800,232292352,232751104,458752,11,-44.071389216721535,233.04817682643994
2,154829700,232620032,232943616,323584,12,-44.071389216721535,233.04817682643994
3,149242400,232591360,232845312,253952,12,-44.071389216721535,233.04817682643994
4,148964700,232493056,233209856,716800,11,-44.071389216721535,233.04817682643994
5,150865100,232550400,232968192,417792,12,-44.071389216721535,233.04817682643994
