repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,174538000,296878080,299421696,2543616,12,-16.612572371375478,146.13129945566877
2,172755000,296382464,298979328,2596864,12,-16.612572371375478,146.13129945566877
3,175237900,296443904,299053056,2609152,13,-16.612572371375478,146.13129945566877
4,173479700,296431616,299180032,2748416,13,-16.612572371375478,146.13129945566877
5,173008600,296255488,299241472,2985984,12,-16.612572371375478,146.13129945566877
