repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,148708800,294780928,297091072,2310144,11,-4.449775141460677,72.62526339691682
2,148016700,294928384,297037824,2109440,11,-4.449775141460677,72.62526339691682
3,152441800,294694912,296787968,2093056,11,-4.449775141460677,72.62526339691682
4,145718700,294928384,297381888,2453504,10,-4.449775141460677,72.62526339691682
5,149436400,295694336,297803776,2109440,11,-4.449775141460677,72.62526339691682
