repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,779739200,303554560,314138624,10584064,50,-44.071389216721535,233.04817682643994
2,813377800,303607808,314372096,10764288,54,-44.071389216721535,233.04817682643994
3,764620100,304152576,314540032,10387456,50,-44.071389216721535,233.04817682643994
4,764543100,303235072,314474496,11239424,50,-44.071389216721535,233.04817682643994
5,808149400,303898624,314060800,10162176,52,-44.071389216721535,233.04817682643994
