repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,75212900,223346688,223608832,262144,7,-4.449775141460677,72.62526339691682
2,73378900,223940608,224202752,262144,7,-4.449775141460677,72.62526339691682
3,73164300,223494144,223723520,229376,6,-4.449775141460677,72.62526339691682
4,72510900,223465472,223772672,307200,6,-4.449775141460677,72.62526339691682
5,73624500,223952896,224370688,417792,7,-4.449775141460677,72.62526339691682
