repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,30657400,222490624,222535680,45056,4,-4.449775141460677,72.62526339691682
2,30580100,222400512,222625792,225280,3,-4.449775141460677,72.62526339691682
3,29863300,222609408,222720000,110592,4,-4.449775141460677,72.62526339691682
4,29567700,222982144,223076352,94208,4,-4.449775141460677,72.62526339691682
5,30799100,222523392,222666752,143360,4,-4.449775141460677,72.62526339691682
