repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,219405800,232361984,233029632,667648,15,-16.612572371375478,146.13129945566877
2,218120600,231874560,232488960,614400,15,-16.612572371375478,146.13129945566877
3,220720500,231694336,232173568,479232,16,-16.612572371375478,146.13129945566877
4,214684100,231911424,232529920,618496,15,-16.612572371375478,146.13129945566877
5,220826400,232587264,233000960,413696,16,-16.612572371375478,146.13129945566877
