repeat,wall_time_ns,rss_before_bytes,sampled_peak_rss_bytes,sampled_rss_delta_bytes,rss_sample_count,objective,gradient_norm
1,58432300,228089856,228990976,901120,6,-16.612572371375478,146.1312994556688
2,59016600,228769792,229564416,794624,6,-16.612572371375478,146.1312994556688
3,59812400,228433920,229269504,835584,5,-16.612572371375478,146.1312994556688
4,58583500,228245504,228929536,684032,6,-16.612572371375478,146.1312994556688
5,58535800,228282368,229195776,913408,5,-16.612572371375478,146.1312994556688
